"account_number","site_number","legal_name","doing_business_as_name","address","license_description","license_number","expiration_date","latitude","longitude"
"88868","1","155 HARBOR DRIVE CONDOMINIUM ASSOCIATION","155 HARBOR DRIVE CONDOMINIUM ASSOCIATION","155 N HARBOR DR","Commercial Garage","46112","2026-09-15T00:00:00.000","41.8847505385","-87.6156039565"
"354886","1","THE PRIDE STORES, INC.","PRIDE OF CHICAGO","1221 - 1223 S WABASH AVE 1ST","Filling Station","2043264","2026-09-15T00:00:00.000","41.8668314544","-87.625669609"
"355771","1","OHIO PARKING INC.","OHIO PARKING","220-232 W OHIO ST","Commercial Garage","2055317","2026-09-15T00:00:00.000","41.8924870639","-87.6350151304"
"349928","1","RDK VENTURES LLC","CIRCLE K # 6711","801 - 809 W ADDISON ST 1","Filling Station","2013751","2026-09-15T00:00:00.000","41.9472070912","-87.6495530007"
"373032","1","77 West Wacker Drive, L.L.C.","77 West Wacker Drive, L.L.C.","77 W WACKER DR 40 4050","Commercial Garage","2575170","2026-09-15T00:00:00.000","41.886707738","-87.6307945778"
"349928","4","RDK VENTURES LLC","CIRCLE K #6735","1160 W DIVERSEY PKWY 1","Filling Station","2013765","2026-09-15T00:00:00.000","41.9326744181","-87.6582286885"
"468555","1","One North Wacker LLC","One North Wacker LLC","1 N WACKER DR","Commercial Garage","2738497","2026-09-15T00:00:00.000","41.8819518765","-87.6366203494"
"356099","1","MUTLI-PARK CHICAGO, INC.","MUTLI-PARK CHICAGO, INC.","635-645 S WABASH AVE 1 1","Commercial Garage","2054408","2026-09-15T00:00:00.000","41.8736695857","-87.6258318022"
"349928","3","RDK VENTURES LLC","CIRCLE K #6765","1160 W VAN BUREN ST 1","Filling Station","2013760","2026-09-15T00:00:00.000","41.8766296724","-87.6569748623"
"65465","124","7-ELEVEN, INC.","7-ELEVEN #38585H","560 W GRENSHAW ST","Filling Station","2732604","2026-09-15T00:00:00.000","41.8682901533","-87.6417096878"
"312261","1","MILLENNIUM PARK LIVING, INC.","MILLENNIUM PARK LIVING INC","155 N MICHIGAN AVE","Commercial Garage","1771541","2026-09-15T00:00:00.000","41.8846362492","-87.6243138872"
"454397","1","MADAM, LLC","MADAM, LLC","2016 - 2020 W MADISON ST 1","Commercial Garage","2636361","2026-09-15T00:00:00.000","41.8814140754","-87.6773367657"
"454397","2","MADAM, LLC","MADAM, LLC","2036 - 2044 W MADISON ST 1","Commercial Garage","2636366","2026-09-15T00:00:00.000","41.8814115357","-87.6781691891"
"408596","1","GARFIELD GAS , INC.","FALCON FUEL","43-57 N HOMAN BLVD 1ST","Filling Station","2483315","2026-09-15T00:00:00.000","41.882211292","-87.710898608"
"349928","2","RDK VENTURES LLC","CIRCLE K # 6736","346 - 350 W CHICAGO AVE 1","Filling Station","2013756","2026-09-15T00:00:00.000","41.8966553711","-87.6375075014"
"269271","1","MEDPARK MANAGEMENT INC.","MEDPARK MANAGEMENT INC","2108 W TAYLOR ST","Commercial Garage","2575137","2026-09-15T00:00:00.000","41.8691839956","-87.6785670826"
"486203","1","FULTON FOOD & FUEL, INC.","B.P.","2953-2959 W FULTON ST","Filling Station","2850584","2026-09-15T00:00:00.000","41.8863756326","-87.7010050166"
"62544","12","HYATT CORPORATION","PARKING GARAGE EAST/WEST","151 E WACKER DR  GARAG","Commercial Garage","1944","2026-09-15T00:00:00.000","41.8879998873","-87.6225651326"
"297968","4","MEPT 200 West Madison","TRANSWESTERN","200 W MADISON ST LL","Commercial Garage","2575146","2026-09-15T00:00:00.000","41.88205499","-87.6338999012"
"503532","1","ONE PARKING 100 HURON, INC.","ONE PARKING","100 E HURON ST","Commercial Garage","2944268","2026-09-15T00:00:00.000","41.8950340785","-87.6254043391"
"508759","1","520 CALIFORNIA GAS LLC","520 BP Gas/ Adams Deli Sandwich","520 S CALIFORNIA AVE","Filling Station","2977938","2026-09-15T00:00:00.000","41.8742192232","-87.6962601439"
